5, 0.1, 0.960664, 0.993975, 
5, 0.1, 0.960507, 0.994049,
5, 0.1, 0.96041, 0.99366,
10, 0.1, 0.960406, 0.996338,
10, 0.1, 0.960392, 0.996314,
10, 0.1, 0.960406, 0.996161,
20, 0.1, 0.960298, 0.997783,
20, 0.1, 0.960206, 0.998115,
20, 0.1, 0.960387, 0.997879,
50, 0.1, 0.960052, 0.999299,
50, 0.1, 0.95997, 0.9995,
50, 0.1, 0.960265, 0.999018,
100, 0.1, 0.960114, 0.999524, 
100, 0.1, 0.960221, 0.999623,
100, 0.1, 0.959876, 0.999676,
5, 0.2, 0.920908, 0.985713,
5, 0.2, 0.920946, 0.986617,
5, 0.2, 0.920893, 0.986828,
10, 0.2, 0.920866, 0.992241,
10, 0.2, 0.920771, 0.991846,
10, 0.2, 0.920683, 0.991603, 
20, 0.2, 0.920571, 0.995732,
20, 0.2, 0.920572, 0.995417,
20, 0.2, 0.920406, 0.996105,
50, 0.2, 0.920461, 0.998315, 
50, 0.2, 0.920251, 0.998056,
50, 0.2, 0.920633, 0.998072, 
100, 0.2, 0.920349, 0.998757, 
100, 0.2, 0.92079, 0.99894, 
100, 0.2, 0.920256, 0.999022,
5, 0.5, 0.804324, 0.957164,
5, 0.5, 0.803706, 0.956978,
5, 0.5, 0.804268, 0.957462,
10, 0.5, 0.804327, 0.974478, 
10, 0.5, 0.803992, 0.974256,
10, 0.5, 0.80399, 0.972915, 
20, 0.5, 0.803442, 0.985577,
20, 0.5, 0.803435, 0.985455, 
20, 0.5, 0.803678, 0.985478,
50, 0.5, 0.80267, 0.993833,
50, 0.5, 0.802828, 0.993949, 
50, 0.5, 0.802753, 0.994134,
100, 0.5, 0.802847, 0.996906, 
100, 0.5, 0.802524, 0.996931,
100, 0.5, 0.802689, 0.99705, 
5, 1, 0.619882, 0.890284,
5, 1, 0.621051, 0.890336,
5, 1, 0.621118, 0.891119,
10, 1, 0.619753, 0.926716,
10, 1, 0.619594, 0.926644,
10, 1, 0.619615, 0.926419,
20, 1, 0.61802, 0.956872, 
20, 1, 0.618569, 0.957389,
20, 1, 0.618694, 0.957425,
50, 1, 0.617471, 0.981139,
50, 1, 0.61849, 0.980824,
50, 1, 0.61754, 0.980756,
100, 1, 0.617738, 0.990046,
100, 1, 0.617105, 0.99012, 
100, 1, 0.616874, 0.990121, 
5, 2, 0.325006, 0.706034,
5, 2, 0.325293, 0.706819,
5, 2, 0.325474, 0.707095,
10, 2, 0.322911, 0.773006, 
10, 2, 0.322756, 0.772796,
10, 2, 0.323091, 0.773507, 
20, 2, 0.320245, 0.851206,
20, 2, 0.321002, 0.850683, 
20, 2, 0.321245, 0.850644,
50, 2, 0.318032, 0.927348,
50, 2, 0.319354, 0.927397, 
50, 2, 0.318922, 0.927644, 
100, 2, 0.31821, 0.960823, 
100, 2, 0.31875, 0.961116, 
100, 2, 0.319117, 0.961187, 
200, 2, 0.317579, 0.979721,
200, 2, 0.318309, 0.979656, 
200, 2, 0.317298, 0.97948,
5, 3, 0.144909, 0.505577,
5, 3, 0.144506, 0.505478,
5, 3, 0.144704, 0.506249,
10, 3, 0.141559, 0.56987, 
10, 3, 0.140807, 0.570274,
10, 3, 0.140521, 0.569784, 
20, 3, 0.137859, 0.680802, 
20, 3, 0.13689, 0.680124,
20, 3, 0.138868, 0.681821, 
50, 3, 0.135213, 0.825588,
50, 3, 0.135275, 0.82486, 
50, 3, 0.135657, 0.825473,
100, 3, 0.134278, 0.900426,
100, 3, 0.134223, 0.900443,
100, 3, 0.135166, 0.900828,
200, 3, 0.134621, 0.946597,
200, 3, 0.134677, 0.946732, 
200, 3, 0.13419, 0.946691,
200, 1, 0.617298, 0.995155, 
200, 1, 0.616764, 0.994794,
200, 1, 0.616797, 0.995073
200, 0.5, 0.802778, 0.998286,
200, 0.5, 0.802689, 0.998368,
200, 0.5, 0.802859, 0.998367, 
200, 0.2, 0.920511, 0.999623,
200, 0.2, 0.92038, 0.999636,
200, 0.2, 0.919996, 0.999463,









